Año,Aerolinea,Mes,Pasajeros
1995,Transportes Aéreos  Gane S.A  de C.V,2,185
1996,Aero Cuahonte S.A de C.V,2,0
1996,Aero Sudpacifico S.A.,2,1195
1996,Aerocalifornia,2,63944
1996,Aerocozumel,2,12016
1996,Aeroejecutivo S.A de C.V ,2,14131
1996,Aerolineas Internacionales,2,12539
1996,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,39737
1996,Aeromar,2,35708
1996,Aerolineas Morelos S.A (Aeromorelos),2,2268
1996,Aerovías Caribe S.A  de C.V,2,28508
1996,Aeroméxico (Aerovías de México),2,416970
1996,Aviación del Noroeste S.A de C.V,2,2025
1996,Aviacsa (Consorcio Aviaxsa),2,30150
1996,Lineas Aereas Allegro,2,3292
1996,Mexicana (Mexicana de Aviación),2,324434
1996,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,76384
1997,Aero Cuahonte S.A de C.V,2,3187
1997,Aerocalifornia,2,70188
1997,Aerocozumel,2,12967
1997,Aeroejecutivo S.A de C.V ,2,14330
1997,Aerolineas Internacionales,2,14551
1997,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,51626
1997,Aeromar,2,27210
1997,Aerolineas Morelos S.A (Aeromorelos),2,989
1997,Aerovías Caribe S.A  de C.V,2,34590
1997,Aeroméxico (Aerovías de México),2,416432
1997,Aviacsa (Consorcio Aviaxsa),2,39505
1997,Lineas Aereas Allegro,2,2167
1997,Mexicana (Mexicana de Aviación),2,338537
1997,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,63165
1998,Aero Cuahonte S.A de C.V,2,3157
1998,Aerocalifornia,2,111125
1998,Aerocozumel,2,11415
1998,Aeroejecutivo S.A de C.V ,2,10335
1998,Aerolineas Internacionales,2,22008
1998,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,52566
1998,Aeromar,2,29572
1998,Aerovías Caribe S.A  de C.V,2,39763
1998,Aeroméxico (Aerovías de México),2,457563
1998,Aviacsa (Consorcio Aviaxsa),2,49085
1998,Lineas Aereas Allegro,2,2407
1998,Mexicana (Mexicana de Aviación),2,361130
1998,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,93553
1999,Aero Cuahonte S.A de C.V,2,3313
1999,Aerocalifornia,2,121332
1999,Aerocozumel,2,13917
1999,Aeroejecutivo S.A de C.V ,2,3220
1999,Aerolineas Internacionales,2,20789
1999,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,53431
1999,Aeromar,2,27947
1999,Aerovías Caribe S.A  de C.V,2,41873
1999,Aeroméxico (Aerovías de México),2,509348
1999,Aviacsa (Consorcio Aviaxsa),2,77003
1999,Lineas Aereas Allegro,2,9236
1999,Mexicana (Mexicana de Aviación),2,353696
1999,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,142337
2000,Aeroméxico (Aerovías de México),2,564413
2000,Mexicana (Mexicana de Aviación),2,409033
2000,Aerocalifornia,2,117694
2000,Aviacsa (Consorcio Aviaxsa),2,85159
2000,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,53515
2000,Aeromar,2,39389
2000,Aerovías Caribe S.A  de C.V,2,37818
2000,Aerolineas Internacionales,2,28761
2000,Lineas Aereas Allegro,2,7088
2000,Aerocozumel,2,10952
2000,Aero Cuahonte S.A de C.V,2,2733
2000,Aeroejecutivo S.A de C.V ,2,3012
2001,Aero Cuahonte S.A de C.V,2,2501
2001,Aerocalifornia,2,115697
2001,Aerocozumel,2,7912
2001,Aerolineas Internacionales,2,37111
2001,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,62657
2001,Aeromar,2,32209
2001,Aerovías Caribe S.A  de C.V,2,33160
2001,Aeroméxico (Aerovías de México),2,549428
2001,Aviacsa (Consorcio Aviaxsa),2,119552
2001,Grupo  Aereo Monterrey,2,15862
2001,Lineas Aereas Allegro,2,17886
2001,Lineas Aereas Azteca,2,0
2001,Mexicana (Mexicana de Aviación),2,402204
2002,Aero Cuahonte S.A de C.V,2,1201
2002,Aerocalifornia,2,96344
2002,Aerocozumel,2,4625
2002,Aerolineas Internacionales,2,35608
2002,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,54513
2002,Aeromar,2,32102
2002,Aerovías Caribe S.A  de C.V,2,31736
2002,Aeroméxico (Aerovías de México),2,481716
2002,Aviacsa (Consorcio Aviaxsa),2,115461
2002,Grupo  Aereo Monterrey,2,19901
2002,Lineas Aereas Allegro,2,17829
2002,Lineas Aereas Azteca,2,15204
2002,Mexicana (Mexicana de Aviación),2,338426
2003,Aero Cuahonte S.A de C.V,2,497
2003,Aerocalifornia,2,67272
2003,Aerocozumel,2,3284
2003,Aerolineas Internacionales,2,52056
2003,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,59601
2003,Aeromar,2,41864
2003,Aerovías Caribe S.A  de C.V,2,43682
2003,Aeroméxico (Aerovías de México),2,463235
2003,Aviacsa (Consorcio Aviaxsa),2,147251
2003,Grupo  Aereo Monterrey,2,21373
2003,Lineas Aereas Allegro,2,18409
2003,Lineas Aereas Azteca,2,34572
2003,Mexicana (Mexicana de Aviación),2,349962
2004,Aero Cuahonte S.A de C.V,2,278
2004,Aerocalifornia,2,151214
